accession	description	tax_id	sub_species	base_count	first_public
AY279327	Drosophila lutescens alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	51159		2773	2004-03-31
AF006564	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234		3482	1997-09-11
AF399012	Drosophila kuntzei alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, complete cds.	42027		4800	2001-08-16
JF735883	Drosophila obscura alcohol dehydrogenase gene, partial cds.	7282		639	2011-10-24
X62187	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3444	1992-10-16
X62212	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3459	1992-10-16
X62234	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3499	1992-10-16
X64473	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3487	1992-10-16
X64488	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3469	1992-10-16
JF735884	Drosophila phalerata alcohol dehydrogenase gene, partial cds.	7283		370	2011-10-24
M19264	D.mauritiana alcohol dehydrogenase gene, complete cds.	7226		4581	1988-10-04
U68469	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.	7266		2146	1999-01-06
X62227	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3444	1992-10-16
X64475	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3470	1992-10-16
AH000981	Drosophila melanogaster alcohol dehydrogenase gene, partial cds.	7227		271	2011-06-30
X62237	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3470	1992-10-16
X64479	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3459	1992-10-16
X64489	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3472	1992-10-16
X62230	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3474	1992-10-16
X64483	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3463	1992-10-16
M63392	Drosophila picticornis alcohol dehydrogenase gene, complete cds.	7235		1598	1991-04-04
X64482	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3498	1992-10-16
X62197	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3490	1992-10-16
X62205	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3479	1992-10-16
X64484	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3472	1992-10-16
X62207	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3467	1992-10-16
X64474	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3475	1992-10-16
U68471	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.	30013		1042	1999-01-06
X62202	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3476	1992-10-16
X62208	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3468	1992-10-16
X62216	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3481	1992-10-16
X62231	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3465	1992-10-16
X64481	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3494	1992-10-16
AY238780	Drosophila miranda strain MSH22 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229		2042	2003-04-08
AY238781	Drosophila miranda strain MSH38 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229		2042	2003-04-08
AF264081	Drosophila tropicalis alcohol dehydrogenase (Adh) gene, partial cds.	46794		405	2000-05-30
AF264082	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.	7260		405	2000-05-30
AY006426	Drosophila primaeva alcohol dehydrogenase (Adh) gene, partial cds.	46814		508	2001-09-04
AY081438	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.	103845		288	2002-08-09
AY750121	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966		911	2005-12-31
AY750125	Drosophila moriwakii alcohol dehydrogenase (Adh) gene, partial cds.	107829		911	2005-12-31
AY750133	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479		911	2005-12-31
M73256	D.melanogaster alcohol dehydrogenase (Adh) gene, exon 2.	7227		1375	1991-07-12
MG684382	Drosophila rubida alcohol dehydrogenase (Adh) gene, partial cds.	30044		693	2018-02-04
AB026529	Drosophila paulistorum gene for alcohol dehydrogenase, partial cds.	46793		776	1999-10-29
AF059890	Drosophila pinicola alcohol dehydrogenase (Adh) gene, partial cds.	7256		290	1998-04-28
AY006424	Drosophila obscuripes alcohol dehydrogenase (Adh) gene, partial cds.	46819		510	2001-09-04
AY750128	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966		911	2005-12-31
HQ631469	Drosophila biarmipes alcohol dehydrogenase (adh) gene, partial cds.	125945		290	2011-08-30
HQ631474	Drosophila fuyamai alcohol dehydrogenase (adh) gene, partial cds.	65963		290	2011-08-30
HQ631477	Drosophila liui alcohol dehydrogenase (adh) gene, partial cds.	212812		290	2011-08-30
HQ631482	Drosophila pseudoananassae alcohol dehydrogenase (adh) gene, partial cds.	65964		290	2011-08-30
HQ631483	Drosophila prostipennis alcohol dehydrogenase (adh) gene, partial cds.	94111		290	2011-08-30
HQ631485	Drosophila tani alcohol dehydrogenase (adh) gene, partial cds.	137070		290	2011-08-30
HQ631486	Drosophila trapezifrons alcohol dehydrogenase (adh) gene, partial cds.	94110		290	2011-08-30
HQ631487	Drosophila trilutea alcohol dehydrogenase (adh) gene, partial cds.	94114		290	2011-08-30
JF710263	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, complete cds.	50033		890	2011-07-03
AF264073	Drosophila capricorni alcohol dehydrogenase (Adh) gene, partial cds.	46840		405	2000-05-30
AF264074	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.	46790		405	2000-05-30
AY006412	Drosophila oahuensis alcohol dehydrogenase (Adh) gene, partial cds.	46808		510	2001-09-04
AY750122	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604		911	2005-12-31
AY750129	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	311475		911	2005-12-31
AY750143	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480		911	2005-12-31
DQ471664	Drosophila mercatorum alcohol dehydrogenase (Adh) gene, partial cds.	7253		711	2006-07-20
EU532133	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.	126477		590	2010-01-21
HQ631479	Drosophila ogumai alcohol dehydrogenase (adh) gene, partial cds.	307244		290	2011-08-30
L08648	Drosophila willistoni alcohol dehydrogenase (Adh) gene, complete cds.	7260	willistoni	1308	1993-01-15
M36581	D.simulans alcohol dehydrogenase (Adh) gene, complete cds.	7240		2719	1990-08-30
U26843	Drosophila lummei alcohol dehydrogenase (Adh) gene, complete cds.	40371		950	1995-06-22
X68159	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS298)	7237		3476	1992-10-08
X68161	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS302)	7237		3463	1992-10-08
AB026526	Drosophila emarginata gene for alcohol dehydrogenase, partial cds.	30024		840	1999-10-29
AY750140	Drosophila unimaculata alcohol dehydrogenase (Adh) gene, partial cds.	311483		911	2005-12-31
AY754404	Drosophila affinis alcohol dehydrogenase (Adh) gene, complete cds.	7246		2529	2005-04-04
DQ471657	Drosophila aracataca alcohol dehydrogenase (Adh) gene, partial cds.	30016		711	2006-07-20
U94206	Drosophila soonae alcohol dehydrogenase (Adh) gene, partial cds.	58310		204	1998-02-23
U94196	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.	46895		222	1998-02-23
GQ376038	Drosophila simulans alcohol dehydrogenase (ADH) gene, partial cds.	7240		410	2009-08-02
AY238770	Drosophila miranda strain 0101.3 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229		2042	2003-04-08
AF260693	Drosophila robusta alcohol dehydrogenase-related protein gene, partial cds.	7257		458	2000-09-20
M60992	Drosophila pseudoobscura bogotana alcohol dehydrogenase (adh) gene, complete cds.	46244	bogotana	3485	1992-04-30
X03630	Drosophila mojavensis duplicated Adh-2 gene fragment (alcohol dehydrogenase)	7230		285	1986-11-18
AB261132	Drosophila ruberrima Adh gene for alcohol dehydrogenase, partial cds.	98362		858	2007-11-03
AB932674	Drosophila sternopleuralis Adh gene for alcohol dehydrogenase, partial cds.	30046		755	2014-10-26
HQ232350	Drosophila hypercephala isolate c1 alcohol dehydrogenase gene, partial cds.	1052065		437	2011-08-08
KM016470	Drosophila simulans isolate KY06 alcohol dehydrogenase-related gene, intron.	7240		476	2014-09-24
KM016474	Drosophila simulans isolate KY04 alcohol dehydrogenase-related gene, intron.	7240		481	2014-09-24
U95272	Drosophila paulistorum Tame alcohol dehydrogenase (Adh) gene, complete cds.	46793		1166	1999-01-06
X57365	Drosophila yakuba (individual a) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
AB261133	Drosophila hypocausta Adh gene for alcohol dehydrogenase, partial cds.	157293		850	2007-11-03
AB261138	Drosophila neonasuta Adh gene for alcohol dehydrogenase, partial cds.	154130		856	2007-11-03
AB932653	Drosophila deflecta Adh gene for alcohol dehydrogenase, partial cds.	198716		848	2014-10-26
AB932661	Drosophila macrospina Adh gene for alcohol dehydrogenase, partial cds.	434062		847	2014-10-26
AB932671	Drosophila recens Adh gene for alcohol dehydrogenase, partial cds.	55946		839	2014-10-26
AF260690	Drosophila hydei alcohol dehydrogenase-related protein gene, partial cds.	7224		450	2000-09-20
KM016467	Drosophila simulans isolate KY35 alcohol dehydrogenase-related gene, intron.	7240		481	2014-09-24
X57367	Drosophila yakuba (individual c) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
X57368	Drosophila yakuba (individual d) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
X57371	Drosophila yakuba (individual g) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
X57364	Drosophila simulans (individual f) Adh gene for alcohol dehydrogenase	7240		975	1991-07-17
X57366	Drosophila yakuba (individual b) ADH gene for alcohol dehydrogenase	7245		975	1991-07-17
AB033639	Drosophila sordidula Adh mRNA for alcohol dehydrogenase, partial cds.	55950		711	1999-11-16
AB033640	Drosophila virilis Adh mRNA for alcohol dehydrogenase, partial cds.	7244		711	1999-11-16
AB932652	Drosophila curvispina Adh gene for alcohol dehydrogenase, partial cds.	126591		845	2015-01-14
AB932676	Drosophila tenebrosa Adh gene for alcohol dehydrogenase, partial cds.	614641		849	2014-10-26
U26845	Drosophila montana alcohol dehydrogenase (Adh-2) gene, complete cds.	40370		957	1995-06-22
U76484	Drosophila hydei alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.	7224		251	1997-03-06
U95254	Drosophila willistoni A57 alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
X57363	Drosophila simulans (individual e) Adh gene for alcohol dehydrogenase	7240		972	1991-07-17
X60791	D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase	7227		1925	1991-10-07
AF201442	Drosophila simulans isolate RU01 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		478	2000-07-03
DQ471623	Drosophila daruma strain 151 alcohol dehydrogenase (Adh) gene, partial cds.	309936		711	2006-07-20
DQ471645	Drosophila beppui strain 260 alcohol dehydrogenase (Adh) gene, partial cds.	381453		711	2006-07-20
DQ471652	Drosophila lacertosa strain 240 alcohol dehydrogenase (Adh) gene, partial cds.	119604		711	2006-07-20
EU532124	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.	46793		588	2010-01-21
JX455219	Drosophila simulans isolate HW50 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		481	2012-09-03
KX976501	Drosophila yakuba isolate Yakuba_Abidjan_12 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
M60987	Drosophila pseudoobscura (strain AH162) alcohol dehydrogenase (adh) gene, complete cds.	7237		3466	1992-01-26
U95263	Drosophila willistoni Manaus III alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
AB154557	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh16.	30033		686	2004-04-01
AB154562	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh21.	30033		683	2004-04-01
AF201445	Drosophila simulans isolate MD111 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		465	2000-07-03
AY095939	Drosophila transversa isolate tra1 alcohol dehydrogenase (Adh) gene, partial cds.	193351		435	2003-05-01
DQ471621	Drosophila daruma strain 137 alcohol dehydrogenase (Adh) gene, partial cds.	309936		711	2006-07-20
DQ471638	Drosophila angor strain 33 alcohol dehydrogenase (Adh) gene, partial cds.	381448		711	2006-07-20
EU532121	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.	46793		558	2010-01-21
JF710264	Drosophila borealis strain W alcohol dehydrogenase (Adh) gene, complete cds.	40368		895	2011-07-03
KX976493	Drosophila yakuba isolate Yakuba_Cascade_18 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976495	Drosophila yakuba isolate Yakuba_Cascade_19 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976520	Drosophila yakuba isolate Yakuba_2_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
M60997	Drosophila persimilis (strain 178) alcohol dehydrogenase (adh) gene, complete cds.	7234		3506	1992-01-24
Z00030	D. melanogaster alcohol dehydrogenase structural gene and flanks (composite sequence)	7227		7423	1986-07-02
AF284476	Drosophila mauritiana strain 197 alcohol dehydrogenase (Adh) gene, partial cds.	7226		701	2000-11-02
DQ471618	Drosophila daruma strain 109 alcohol dehydrogenase (Adh) gene, partial cds.	309936		711	2006-07-20
DQ471620	Drosophila barutani strain 53 alcohol dehydrogenase (Adh) gene, partial cds.	381452		711	2006-07-20
DQ471649	Drosophila karakasa strain 249 alcohol dehydrogenase (Adh) gene, partial cds.	381466		711	2006-07-20
EU532126	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793		507	2010-01-21
KX384730	Drosophila bipectinata strain IND_DBP_U14 alcohol dehydrogenase (Adh) gene, partial cds.	42026		873	2017-01-03
KX976491	Drosophila yakuba isolate Yakuba_Montecafe_17_17 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
M60983	Drosophila pseudoobscura (strain AH122) alcohol dehydrogenase (adh) gene, complete cds.	7237		3487	1992-01-26
U95269	Drosophila equinoxialis Puerto Rico alcohol dehydrogenase (Adh) gene, complete cds.	46790		1167	1999-01-06
DQ471639	Drosophila barutani strain 52 alcohol dehydrogenase (Adh) gene, partial cds.	381452		711	2006-07-20
AF201435	Drosophila simulans isolate DSW alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2000-07-03
AF201447	Drosophila simulans isolate MD199 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2000-07-03
DQ471612	Drosophila angor strain A138 alcohol dehydrogenase (Adh) gene, partial cds.	381448		711	2006-07-20
EU532122	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	46793		573	2010-01-21
EU532123	Drosophila paulistorum from Honduras alcohol dehydrogenase (Adh) gene, partial cds.	46793		588	2010-01-21
DQ471610	Drosophila lacertosa strain 170 alcohol dehydrogenase (Adh) gene, partial cds.	119604		711	2006-07-20
U95252	Drosophila willistoni 0811.4 alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
JX455210	Drosophila simulans isolate HW01 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2012-09-03
JX455211	Drosophila simulans isolate HW02 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2012-09-03
AB154548	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh07.	30033		686	2004-04-01
AB154549	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh08.	30033		686	2004-04-01
AB154558	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh17.	30033		683	2004-04-01
AY095940	Drosophila kuntzei isolate kun1 alcohol dehydrogenase (Adh) gene, partial cds.	42027		431	2003-05-01
AY095946	Drosophila curvispina isolate cur1 alcohol dehydrogenase (Adh) gene, partial cds.	126591		443	2003-05-01
AY095951	Drosophila phalerata isolate pha1 alcohol dehydrogenase (Adh) gene, partial cds.	7283		430	2003-05-01
AY335196	Drosophila capricorni clone Dcap3 alcohol dehydrogenase (Adh) gene, partial cds.	46840		776	2003-12-31
AY335199	Drosophila sturtevanti clone Dsturt1 alcohol dehydrogenase (Adh) gene, partial cds.	30047		792	2003-12-31
DQ471616	Drosophila angor strain 112 alcohol dehydrogenase (Adh) gene, partial cds.	381448		711	2006-07-20
DQ471619	Drosophila asper strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	381449		711	2006-07-20
DQ471640	Drosophila medioconstricta strain 148 alcohol dehydrogenase (Adh) gene, partial cds.	311480		711	2006-07-20
KX976505	Drosophila yakuba isolate Yakuba_Bosu_1235_14 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
U95274	Drosophila tropicalis 0801.0 alcohol dehydrogenase (Adh) gene, complete cds.	46794		1162	1999-01-06
U95268	Drosophila equinoxialis 0741.0 alcohol dehydrogenase (Adh) gene, complete cds.	46790		1174	1999-01-06
AB669852	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: NHO115.	111875		830	2014-01-02
AF136658	Drosophila americana americana G96.40X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136674	Drosophila americana americana G96.10X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136706	Drosophila americana texana LP97.09 alcohol dehydrogenase (Adh) gene, partial cds.	40372	texana	884	1999-06-03
AF175212	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h13 allele, complete cds.	7227		951	1999-10-06
AF175217	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k30 allele, complete cds.	7227		951	1999-10-06
U64547	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS323 allele, complete cds.	7237		3471	1996-08-16
U64551	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS334 allele, complete cds.	7237		3473	1996-08-16
Y00602	D. pseudoobscura Adh gene for alcohol dehydrogenase (EC1.1.1.1)	7237		3535	1987-09-19
AF136665	Drosophila americana americana G96.06X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136672	Drosophila americana americana G96.13X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136705	Drosophila americana texana LP97.02 alcohol dehydrogenase (Adh) gene, partial cds.	40372	texana	884	1999-06-03
AF175211	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h12 allele, complete cds.	7227		951	1999-10-06
AF459756	Drosophila phaeopleura alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	195712		290	2002-05-16
KY002643	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_AMD10 alcohol dehydrogenase-like gene, complete sequence.	7227		708	2017-10-13
KY002644	UNVERIFIED: Drosophila ananassae strain IND_DANA_KL18 alcohol dehydrogenase-like gene, partial sequence.	7217		740	2017-10-13
AB669840	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KMJ1.	67534		842	2014-01-02
AB669881	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: Y150.	137353		838	2014-01-02
AB669889	Drosophila parvula Adh gene for alcohol dehydrogenase, partial cds, strain: SHL17.	137077		864	2014-01-02
AF136686	Drosophila americana americana G96.27Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF175216	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k15 allele, complete cds.	7227		951	1999-10-06
AF459786	Drosophila ficusphila alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30025		290	2002-05-16
KJ767240	Drosophila melanogaster strain Zimbabwe-109 alcohol dehydrogenase (Adh) gene, partial cds.	7227		872	2014-09-04
AB669853	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: CJB212.	60717		836	2014-01-02
AF136670	Drosophila americana americana G96.38X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136696	Drosophila americana americana G96.30Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF459747	Drosophila paralutea alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	186284		290	2002-05-16
U64532	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS260 allele, complete cds.	7237		3392	1996-08-16
U64545	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS320 allele, complete cds.	7237		3474	1996-08-16
U64560	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS367 allele, complete cds.	7237		3467	1996-08-16
AB669891	Drosophila pectinifera Adh gene for alcohol dehydrogenase, partial cds, strain: OGS98m.	359927		841	2014-01-02
AB669868	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: DHS501.	74550		843	2014-01-02
AB669883	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG2.	112146		838	2014-01-02
AF136683	Drosophila americana americana G96.41Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136687	Drosophila americana americana G96.06Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136708	Drosophila americana texana LP97.04 alcohol dehydrogenase (Adh) gene, partial cds.	40372	texana	884	1999-06-03
AF175220	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k82 allele, complete cds.	7227		951	1999-10-06
AF201427	Drosophila sechellia isolate type line alcohol dehydrogenase (Adhr) gene, intron 1.	7238		482	2000-07-03
AF459746	Drosophila tolteca alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7259		290	2002-05-16
AF459765	Drosophila seguyi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	73917		290	2002-05-16
AF459784	Drosophila ercepeae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	42063		290	2002-05-16
AF459785	Drosophila elegans alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30023		290	2002-05-16
U64528	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS248 allele, complete cds.	7237		3488	1996-08-16
U64556	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS350 allele, complete cds.	7237		3471	1996-08-16
KY002645	UNVERIFIED: Drosophila ananassae strain IND_DANA_AMD6 alcohol dehydrogenase-like gene, partial sequence.	7217		1301	2017-10-13
U64543	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS311 allele, complete cds.	7237		3458	1996-08-16
U64524	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS232 allele, complete cds.	7237		3498	1996-08-16
U64549	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS331 allele, complete cds.	7237		3470	1996-08-16
U64548	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS329 allele, complete cds.	7237		3498	1996-08-16
AB703322	Drosophila miranda Adh gene for alcohol dehydrogenase, partial cds, clone: D.miranda.	7229		405	2012-03-18
AF136675	Drosophila americana americana D.am-.9Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AY340305	Drosophila americana pop-variant NN00.05Y alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY364509	Drosophila mojavensis strain MJS 16F alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230		880	2004-01-30
EF216312	Drosophila hubeiensis alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.	57873		431	2007-06-10
AB669865	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: AO-2.	109356		832	2014-01-02
AB669890	Drosophila pectinifera Adh gene for alcohol dehydrogenase, partial cds, strain: OGH06-06.	359927		841	2014-01-02
AY541095	Drosophila innubila strain CH3_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
KJ767242	Drosophila yakuba strain 14021-0261.0 alcohol dehydrogenase (Adh) gene, partial cds.	7245		865	2014-09-04
AB669839	Drosophila tani Adh gene for alcohol dehydrogenase, partial cds, strain: tani-YF.	137070		838	2014-01-02
AB703318	Drosophila athabasca Adh gene for alcohol dehydrogenase, partial cds, clone: D.athabasca.	7248		405	2012-03-18
AB830534	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: IR96-1.	67531		838	2014-01-12
AY340287	Drosophila americana pop-variant NN97.09X alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY340301	Drosophila americana pop-variant NN97.04Y alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY340306	Drosophila americana pop-variant NN00.07Y alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY364520	Drosophila mojavensis strain MJS 132 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230		879	2004-01-30
AY874362	Drosophila subobscura strain line 1 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241		1406	2005-05-31
AB669835	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: rufa-OGM.	67533		838	2014-01-02
AB825961	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: XT-33.	1084936		840	2015-12-16
AF459758	Drosophila malerkotliana malerkotliana alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	195057	malerkotliana	290	2002-05-16
U76478	Drosophila mulleri strain -1371.0 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231		902	1997-03-06
U20765	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, complete cds, and copia insertion site.	7227		2365	1995-03-12
AY044127	Drosophila sulfurigaster alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	88886		716	2002-08-06
AY154832	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230		880	2003-03-03
AY154852	Drosophila arizonae strain AR00 2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
AY154856	Drosophila arizonae strain AR00 13 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
AY154863	Drosophila arizonae strain ARTU 36 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
M17833	D.melanogaster (strain Fl-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	7227		2727	1991-07-01
M60995	Drosophila pseudoobscura bogotana strain BOG 3389.6 alcohol dehydrogenase (adh) gene, complete cds.	46244	bogotana	3475	1992-01-26
AB669847	Drosophila tsacasi Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0701.00.	34677		838	2014-01-02
AY044131	Drosophila hypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157293		723	2002-08-06
M17835	D.melanogaster (strain Wa-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	7227		2769	1991-07-01
AB669875	Drosophila birchii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0521.00.	46829		833	2014-01-02
AB669877	Drosophila bunnanda Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0721.00.	244254		826	2014-01-02
